Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fear_greed_index,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,close_norm
2024-09-05,-0.6568195209221159,-0.6715621997897987,-0.6571419237963704,-0.6727010926149695,-0.7199452946951839,XRP,230381905.59892,583157,-0.6994762365223652,29.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-2.4210903873744583,-0.0245088059544344,0.0641870879462619
2024-09-06,-0.6709817291780873,-0.6839490033058704,-0.6969057910462485,-0.6969792248098122,-0.3564600617411146,XRP,449214463.56329,949494,-0.6802750909495422,22.0,0.2632144805730424,3.0675072845016627,-1.6998354261026347,1d,-4.319058996508007,-0.0441510609314147,0.0568789650454036
2024-09-07,-0.6950678205915278,-0.6985334655102775,-0.6783636103609955,-0.6928467767766475,-0.8292638157030583,XRP,152462623.02245,461573,-1.234279303652561,23.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.7683442182097489,0.0076540748723082,0.0581229008583156
2024-09-08,-0.6911396168416964,-0.6997321884311877,-0.6772918080092467,-0.6880944615385081,-0.8537144413671555,XRP,137137590.2311,398127,-0.2507472702358587,29.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.8768585589020272,0.0087303648080273,0.0595534270431645
2024-09-09,-0.6862810490458522,-0.688344320682541,-0.6706466334284046,-0.6777633414555962,-0.7052121373170773,XRP,233044333.41809,553302,-0.505087209477124,26.0,0.2632144805730424,1.7248074279822727,-1.6397756323862662,1d,1.889644746787611,0.0187201273572967,0.0626632665754447
2024-09-10,-0.6758402969739316,-0.688544107836026,-0.663465557671688,-0.6764202958448178,-0.7875941962939257,XRP,182367867.39212,492016,-0.5046959635641982,33.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.2410979228486542,0.0024080774811655,0.0630675457146411
2024-09-11,-0.674599811579248,-0.6900425114871638,-0.6748266626002245,-0.6825156566937357,-0.6293847900765361,XRP,280762835.55319,610504,-0.5185099538744267,37.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-1.0915818686401455,-0.0109758333744443,0.0612327403905958
2024-09-12,-0.6808022385526662,-0.6428927432646971,-0.6636799181420378,-0.6537951428632409,0.1634094707584234,XRP,826196855.04162,1345652,-0.5665730094853958,31.0,0.7014876903995843,1.5991694785327937,-1.3593920871078455,1d,5.200149644594099,0.0506945367916366,0.0698780942903346
2024-09-13,-0.6519609531262717,-0.656278482548194,-0.6402074466387403,-0.6436706451819874,-0.3176515260297885,XRP,509118428.10283,912276,-0.5308492480513193,32.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.7425320056899007,0.0172752401195547,0.0729257370319691
2024-09-14,-0.641830322403022,-0.631205194785823,-0.6240232311273344,-0.6198057577904611,-0.2510846847896215,XRP,573115610.71302,907706,-0.4939216530390091,50.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,4.037049982523588,0.0395768995433344,0.0801094663515362
2024-09-15,-0.617950978555362,-0.6356005121624936,-0.6268099172418812,-0.6456335579977406,-0.5537712061935394,XRP,360748013.97596,706554,-0.503823184219979,51.0,0.6649855784850118,3.707330961505448,-1.3145570701501528,1d,-4.199563245422477,-0.0429029419968512,0.0723348675208359
2024-09-16,-0.6437944242779376,-0.6396961488089367,-0.6355986965262208,-0.62931038826674,-0.4135768942821661,XRP,450202824.08355,864477,-0.4472129102035525,39.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,2.770471681571096,0.0273278853198903,0.0772484139818385
2024-09-17,-0.6274613665812699,-0.6380978515810565,-0.615020091372645,-0.6318931682874679,-0.5732769418475306,XRP,348484738.65802,726873,-0.2939648956944384,33.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.4265483705852113,-0.0042746068337528,0.0764709540987685
2024-09-18,-0.6301490849364177,-0.6456897634134875,-0.6331335511171987,-0.6303435002750312,-0.4544773919008159,XRP,422553005.55637,810107,-0.677385890361782,45.0,0.1904581235955749,1.2871622017936064,-1.6345305513333082,1d,0.2570253598354943,0.0025669561455597,0.0769374300286105
2024-09-19,-0.6285984781930632,-0.6366993415066612,-0.6124477657284482,-0.6286905210617653,-0.4184123934839404,XRP,457044980.11462,711300,0.0032014230924807,49.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.2734575286275964,0.0027308431376238,0.0774350043537753
