Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame,pct_change,log_return,Close_norm,sentiment_mix
2025-09-04,855.21,857.17,841.08,843.8,331377.91,BNB,280877618.3628,552613,9.106666666666669e-06,51.0,,956568711.0781472,452266.1142857143,54394042.38259282,57,1d,-1.3341752318144162,-0.013431553123420687,0.29919937039335276,53.4
2025-09-05,843.8,857.99,842.33,850.28,357112.83,BNB,303439969.9089,587418,0.0,48.0,,956568711.0781472,452266.1142857143,54394042.38259282,54,1d,0.7679544915856873,0.007650207314686507,0.3090067047054016,50.4
2025-09-06,850.28,865.77,849.75,861.47,413035.0,BNB,354927950.012,618614,4.613333333333333e-06,48.0,,946761026.3534616,441035.0,51557818.35938023,56,1d,1.3160370701416069,0.013074525373556559,0.32594251812389335,51.2
2025-09-07,861.47,884.97,861.12,880.67,408406.79,BNB,356212492.3739,572431,1.7406666666666667e-05,44.0,,956568711.0781472,452266.1142857143,54394042.38259282,62,1d,2.2287485344817393,0.022042749039871384,0.3550012864558897,51.2
2025-09-08,880.68,886.59,870.01,878.55,495317.7,BNB,435292531.6666,752270,2.4726666666666665e-05,51.0,,956568711.0781472,452266.1142857143,54394042.38259282,59,1d,-0.24072581103024016,-0.0024101602144518774,0.35179271411923174,54.2
2025-09-09,878.54,885.42,871.72,880.3,435091.55,BNB,382245988.8582,637778,7.386333333333333e-05,48.0,,1129350652.8644862,619514.0,59621353.915624365,60,1d,0.1991918502077361,0.001989937262959545,0.3544412997744918,52.8
2025-09-10,880.29,908.1,877.51,894.14,823061.95,BNB,736220950.9531,1043363,5.392333333333333e-05,49.0,,956568711.0781472,452266.1142857143,54394042.38259282,56,1d,1.5721912984209885,0.015599603998796396,0.37538782861380593,51.8
2025-09-11,894.14,905.45,884.04,903.13,538321.12,BNB,483018636.2437,761921,7.693333333333333e-06,54.0,,956568711.0781472,452266.1142857143,54394042.38259282,54,1d,1.005435390431031,0.010004145151994619,0.3889939914942564,54.0
2025-09-12,903.13,930.6,902.0,925.5,669201.39,BNB,611067745.5632,916503,4.659e-05,57.0,,811509451.1601102,396513.0,45996051.3087754,59,1d,2.476941304131186,0.024467624395900694,0.4228504835560668,57.8
2025-09-13,925.5,944.5,922.45,934.21,737020.73,BNB,687924166.4307,926900,0.0001340666666666,52.0,,956568711.0781472,452266.1142857143,54394042.38259282,58,1d,0.9411129119395012,0.0093671203431289,0.4360328727316757,54.400000000000006
