Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,Close_norm
2023-09-28,19.12,19.982,19.085,19.948,21507958.0,SOL,418116534.984,553052,-3.348666666666666e-05,46.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,4.330543933054387,0.0423939800606208,0.0395795540700928
2023-09-29,19.948,20.457,19.831,20.26,23548560.0,SOL,475258539.574,595441,-4.784e-05,48.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,1.5640665730900505,0.0155196111366613,0.0408180277306955
2023-09-30,20.259,21.797,20.055,21.348,33519444.0,SOL,705647581.068,816320,-0.0001879833333333,47.0,391843300.11931473,275474.0,23854988.05610223,1d,5.370187561697914,0.0523095596511609,0.0451368076753611
2023-10-01,21.347,24.506,21.118,23.873,59267947.0,SOL,1358234794.018,1560835,-0.00011682,48.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,11.827805883455136,0.111790054752716,0.0551597114991485
2023-10-02,23.873,24.83,22.826,23.366,67458697.0,SOL,1612967960.713,1663171,4.013666666666667e-05,50.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,-2.123738114187579,-0.0214661389294577,0.0531471918006692
2023-10-03,23.366,24.777,23.165,23.594,61010682.0,SOL,1461439967.502,1579981,-5.347999999999999e-05,50.0,466751379.41330886,310664.0,28995037.486792862,1d,0.9757767696653374,0.0097104681246942,0.0540522302449558
2023-10-04,23.595,23.85,22.543,23.106,50019138.0,SOL,1157952415.351,1280717,-0.0001126766666666,49.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,-2.0683224548614043,-0.0209001183588238,0.0521151304168337
2023-10-05,23.106,23.75,22.483,22.682,41702522.0,SOL,961915959.493,1073265,-0.0001713466666666,48.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,-1.835021206613019,-0.0185206656676882,0.0504320764678096
2023-10-06,22.681,23.78,22.648,23.391,41404412.0,SOL,962256722.198,1093577,-3.3583333333333334e-05,50.0,455914820.74455184,298650.0,28870637.172927104,1d,3.1258266466801965,0.0307796746024339,0.0532464284721918
2023-10-07,23.391,24.208,23.064,23.279,25241378.0,SOL,593892197.668,741083,-5.312e-05,49.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,-0.4788166388781989,-0.0047996663814024,0.0528018481837704
2023-10-08,23.279,23.642,23.046,23.204,21066172.0,SOL,491670519.333,607709,-4.790333333333334e-05,50.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,-0.3221787877486171,-0.0032269890103522,0.0525041381692025
2023-10-09,23.204,23.364,21.5,22.077,36992649.0,SOL,829201151.353,1006683,-6.986666666666667e-05,50.0,444516950.225938,283648.0,27541014.339650355,1d,-4.856921220479227,-0.0497883349912462,0.0480305490169615
2023-10-10,22.078,22.477,21.676,22.107,26416053.0,SOL,583356092.835,719571,-0.0001430866666666,50.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,0.1358880282646968,0.0013579578404001,0.0481496330227887
