Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,Close_norm
2025-06-12,108600.1,108782.1,105602.0,105609.5,185790.19,BTC,19916220925.2797,3320828,3.4336666666666666e-05,71.0,934223897.6608136,425413.0,50245393.68482558,1d,-2.7536832412523027,-0.0279230781528108,0.8239278195711464
2025-06-13,105609.4,106141.1,102614.0,106027.3,245935.413,BTC,25704797377.6442,4731930,5.953333333333333e-06,61.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.3956083496276408,0.0039482787752752,0.8277956862824969
2025-06-14,106027.3,106173.6,104225.4,105359.9,79911.57,BTC,8391666383.1509,1612153,2.317e-05,63.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.6294605257325281,-0.0063144998145276,0.8216170978594347
2025-06-15,105359.8,106099.4,104399.9,105534.6,78819.399,BTC,8299752647.8676,1615722,1.722333333333333e-05,60.0,854616743.0404905,281934.0,45795101.48493961,1d,0.1658126099208567,0.0016567529258482,0.8232344179036496
2025-06-16,105534.7,108900.0,104920.0,106750.1,166813.219,BTC,17887208567.0373,3134819,2.933e-05,61.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.1517549694602502,0.0114517276428249,0.8344871512393283
2025-06-17,106750.1,107727.4,103300.0,104508.0,226051.863,BTC,23808393905.4278,3970409,3.278e-05,68.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-2.1003259013340547,-0.0212269653778422,0.813730463940336
2025-06-18,104508.0,105500.0,103426.1,104832.8,172706.399,BTC,18052952724.8775,3219465,2.8783333333333333e-05,52.0,879752529.6005048,441317.0,47261638.10736218,1d,0.3107896046235625,0.0031030765204599,0.816737364629294
2025-06-19,104832.8,105185.7,103870.3,104607.1,87710.605,BTC,9170655647.4608,1606233,1.2856666666666668e-05,57.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.2152952129486185,-0.0021552730627592,0.8146479019276381
2025-06-20,104607.1,106486.2,102255.3,103246.1,199102.135,BTC,20795551830.7014,3108911,4.609000000000001e-05,54.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.3010589147390617,-0.0130959682256508,0.8020481733633777
2025-06-21,103246.1,103940.6,100789.9,102079.8,120771.35,BTC,12390156115.4865,2033604,4.45e-05,49.0,886036476.2405084,309613.0,46573282.15737069,1d,-1.1296310465964354,-0.0113605983837412,0.7912509188266422
2025-06-22,102079.8,103362.6,98115.4,100904.7,293562.636,BTC,29530840749.9246,4876091,5.676e-05,42.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.1511582115168784,-0.0115783532991562,0.7803721965372502
2025-06-23,100904.7,106050.0,99547.6,105290.9,297222.041,BTC,30424122122.1681,4717211,3.3966666666666675e-06,47.0,621827764.132736,451146.4942196532,38539060.71746736,1d,4.346873832437925,0.0425504886046859,0.8209783166170145
2025-06-24,105291.0,106239.0,104570.8,106034.9,144449.887,BTC,15211187542.8234,2565480,9.7e-06,65.0,735221756.880422,279124.0,39244053.8123115,1d,0.706613771940412,0.0070412895533105,0.8278660447961547
2025-06-25,106034.9,108095.7,105755.6,107280.0,159277.823,BTC,17055576325.5144,2665403,1.7833333333333338e-06,66.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.1742360298354626,0.0116739537676712,0.8393928060271325
2025-06-26,107280.1,108249.9,106500.0,106913.7,114433.386,BTC,12286992617.7236,2181091,1.542666666666667e-05,74.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.3414429530201324,-0.0034202719976295,0.8360017108228057
2025-06-27,106913.8,107686.0,106313.1,107010.7,118637.45,BTC,12685404247.2056,2005062,2.1110000000000003e-05,65.0,722653863.6004148,335434.0,38960959.605642885,1d,0.0907273810559328,0.0009068624864459,0.8368997076418603
2025-06-28,107010.6,107538.0,106767.0,107241.0,35670.419,BTC,3824571878.0348,747193,3.108666666666667e-05,65.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.2152121236474569,0.0021498087408193,0.8390317557596775
2025-06-29,107240.9,108499.0,107112.6,108309.8,79448.325,BTC,8563401844.1215,1398904,5.5366666666666666e-05,68.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.996633750151532,0.0099170010913172,0.8489263846277757
2025-06-30,108309.8,108783.9,106686.4,107087.4,114681.386,BTC,12341253790.3646,1865096,2.988666666666667e-05,66.0,843035679.3574839,339268.0,49333586.62119861,1d,-1.1286144005436372,-0.0113503158204545,0.837609773167855
