Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2024-02-03,43182.0,43372.2,42858.3,42992.4,89735.22,BTC,3867372627.98708,1184516,8.232333333333334e-05,60.0,,,,1d
2024-02-04,42992.4,43112.1,42176.7,42570.3,127421.548,BTC,5453304864.80739,1639173,9.051000000000001e-05,60.0,581751116.6716322,336211.0,45783886.783488914,1d
2024-02-05,42570.3,43580.0,42235.1,42692.9,240655.549,BTC,10308099591.89269,3020351,0.0001,60.0,,,,1d
2024-02-06,42692.9,43378.8,42559.8,43079.1,196157.643,BTC,8429315912.62482,2349996,8.907666666666668e-05,64.0,,,,1d
2024-02-07,43079.1,44388.0,42763.4,44326.2,252057.708,BTC,10954644814.28782,2929944,7.068666666666666e-05,62.0,600517281.7255559,427538.0,47540598.549763575,1d
2024-02-08,44326.3,45600.0,44306.8,45269.1,299738.288,BTC,13472865468.76801,3448195,6.375e-05,66.0,,,,1d
2024-02-09,45269.2,48230.3,45218.1,47116.1,519919.419,BTC,24408544252.73436,5650447,7.653666666666667e-05,72.0,,,,1d
2024-02-10,47116.1,48189.6,46836.4,47732.6,179626.604,BTC,8517076446.277,2285021,9.347000000000001e-05,74.0,570491417.639278,399252.0,46943037.64336504,1d
2024-02-11,47732.6,48600.0,47539.4,48303.4,209951.626,BTC,10111698916.38982,2680053,0.0001,71.0,,,,1d
2024-02-12,48303.4,50413.2,47702.0,49943.6,450895.202,BTC,22160439674.1704,5410318,0.0001,70.0,,,,1d
2024-02-13,49943.6,50428.8,48301.0,49696.4,382348.085,BTC,18877386934.6482,4735916,0.0001,79.0,506686456.4559378,313178.0,44242861.69005214,1d
2024-02-14,49696.4,52100.0,49215.7,51823.2,395191.791,BTC,20230765100.11763,4979944,0.00010761,74.0,,,,1d
2024-02-15,51823.1,52859.0,51334.9,51898.5,392724.603,BTC,20470765163.49206,5071385,0.0001,72.0,,,,1d
2024-02-16,51898.4,52623.0,51611.7,52148.6,259819.793,BTC,13526420001.52013,3599586,0.0001,72.0,544386616.4219546,312782.0,47283903.32749274,1d
