Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2023-03-29,1772.11,1828.58,1771.66,1791.89,3725356.756,ETH,6711651489.12707,2756300,9.194666666666667e-05,57.0,342303914.6141264,334637.0,26591193.533266988,1d
2023-03-30,1791.89,1829.88,1760.84,1792.77,4163974.718,ETH,7462948646.57345,2942201,3.689e-05,60.0,,,,1d
2023-03-31,1792.76,1848.0,1777.0,1820.81,3958210.583,ETH,7182992018.54653,2809931,8.061666666666667e-05,63.0,,,,1d
2023-04-01,1820.81,1842.8,1805.5,1819.82,1675351.82,ETH,3052725254.36357,1422524,8.768666666666667e-05,61.0,326003728.2039299,319646.0,25771404.496490154,1d
2023-04-02,1819.83,1824.6,1770.0,1793.56,2192606.026,ETH,3949711148.25586,1750101,4.1693333333333336e-05,63.0,,,,1d
2023-04-03,1793.55,1840.0,1761.25,1809.68,4518659.82,ETH,8135938230.19109,3246221,-1.7896666666666664e-05,63.0,,,,1d
2023-04-04,1809.68,1895.0,1800.69,1869.11,4275707.73,ETH,7917928013.22222,3189265,6.532666666666667e-05,62.0,377232885.49311894,421130.0,29712370.380244203,1d
2023-04-05,1869.11,1945.0,1863.69,1907.48,4197070.072,ETH,8002757302.09807,3188196,8.951e-05,62.0,,,,1d
2023-04-06,1907.49,1908.84,1851.6,1871.33,3037614.773,ETH,5695615572.83125,2416120,3.826333333333333e-05,63.0,,,,1d
2023-04-07,1871.34,1881.94,1840.0,1862.87,2094298.392,ETH,3892274987.5975,1776477,4.273e-05,64.0,338032942.16648775,355031.0,25883474.596045014,1d
2023-04-08,1862.88,1878.81,1846.0,1848.02,1433874.915,ETH,2670491237.61519,1249077,2.327e-05,61.0,,,,1d
2023-04-09,1848.01,1873.7,1820.31,1857.84,2391096.749,ETH,4411928549.86057,1897984,6.6e-06,61.0,,,,1d
2023-04-10,1857.84,1919.12,1845.04,1908.9,3082285.12,ETH,5789773602.66807,2215569,1.506666666666667e-06,62.0,292803182.2991408,289625.0,22540478.67849652,1d
2023-04-11,1908.91,1938.0,1880.67,1888.89,3135834.566,ETH,5992414574.57517,2319270,6.004e-05,68.0,,,,1d
2023-04-12,1888.89,1933.0,1850.38,1916.86,5177985.751,ETH,9820582527.1319,3524224,1.9849999999999998e-05,65.0,,,,1d
2023-04-13,1916.86,2025.0,1898.01,2011.8,5944851.519,ETH,11737826015.50057,4063215,0.0001,61.0,338032942.16648775,332042.0,27603326.707211237,1d
2023-04-14,2011.8,2137.64,2009.0,2099.77,6908499.4,ETH,14466877844.1142,5000626,0.0001,68.0,,,,1d
2023-04-15,2099.77,2113.28,2071.0,2091.2,2619968.921,ETH,5490344951.01392,2390559,0.0001,68.0,,,,1d
2023-04-16,2091.2,2146.1,2072.4,2118.09,2905235.978,ETH,6115423203.35783,2641132,0.0001,68.0,295183695.97636956,232268.0,23967480.70486132,1d
2023-04-17,2118.09,2120.64,2055.5,2074.49,3410289.359,ETH,7103102832.76539,2859924,0.0001,69.0,,,,1d
